"Actor","Source","ID","Title","Year","Rated","Type","Actors","Genre","Metascore","imdbRating","imdbVotes","tomatoMeter","tomatoRating","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","BoxOffice","Production"
"Samuel L. Jackson","Money","tt4154756","Avengers: Infinity War - Part I","2018","N/A","movie","Chris Pratt, Chris Hemsworth, Samuel L. Jackson, Josh Brolin","Action, Sci-Fi","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1990","N/A","Walt Disney Pictures"
"Samuel L. Jackson","Money","tt4428398","Blazing Samurai","2017","N/A","movie","Samuel L. Jackson, Ricky Gervais, Michael Cera, Mel Brooks","Animation","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16","N/A","N/A"
"Samuel L. Jackson","Money","tt3731562","Kong: Skull Island","2017","N/A","movie","Tom Hiddleston, Brie Larson, Toby Kebbell, Samuel L. Jackson","Action, Adventure, Fantasy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","638","N/A","Universal Pictures"
"Samuel L. Jackson","Money","tt1293847","xXx: The Return of Xander Cage","2017","N/A","movie","Nina Dobrev, Samuel L. Jackson, Vin Diesel, Rory McCann","Action, Adventure, Thriller","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3264","N/A","N/A"
"Samuel L. Jackson","Money","tt1935859","Miss Peregrine's Home for Peculiar Children","2016","N/A","movie","Eva Green, Asa Butterfield, Samuel L. Jackson, Ella Purnell","Adventure, Fantasy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2127","N/A","20th Century Fox"
"Samuel L. Jackson","Money","tt1959563","The Hitman's Bodyguard","2016","N/A","movie","Ryan Reynolds, Samuel L. Jackson, Elodie Yung, Salma Hayek","Action, Comedy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","40","N/A","Millenium Films"
"Samuel L. Jackson","Money","tt2555624","Moose","2014","N/A","movie","Samuel L. Jackson, Bob Odenkirk","Animation","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt0918940","The Legend of Tarzan","2016","PG-13","movie","Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz","Action, Adventure","N/A","7.6","541","N/A","N/A","N/A","N/A","28180","N/A","Lionsgate Pictures"
"Samuel L. Jackson","Money","tt0775440","Cell","2016","R","movie","Owen Teague, Samuel L. Jackson, John Cusack, Isabelle Fuhrman","Horror, Sci-Fi, Thriller","N/A","N/A","N/A","N/A","N/A","N/A","N/A","360","N/A","Saban Films"
"Samuel L. Jackson","Money","tt3460252","The Hateful Eight","2015","R","movie","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins","Crime, Drama, Mystery","68","7.9","246,589","75","7.3","76","3.8","67060","$54.1M","The Weinstein Company"
"Samuel L. Jackson","Money","tt4594834","Chi-Raq","2015","R","movie","Nick Cannon, Teyonah Parris, Wesley Snipes, Angela Bassett","Comedy, Crime, Drama","77","5.7","5,135","82","7.4","50","3.1","7705","$2.6M","LionsGate Entertainment"
"Samuel L. Jackson","Money","tt4671444","Disney Infinity 3.0","2015","N/A","game","A.J. Buckley, Adrian Pasdar, Ahmed Best, Alex Hirsch","Action","N/A","8.1","95","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt1731701","Barely Lethal","2015","PG-13","movie","Jaime King, Samuel L. Jackson, Madeleine Stack, Eva G. Cooper","Action, Adventure, Comedy","44","5.3","10,801","22","4.1","39","3.0","2346","N/A","A24 Films"
"Samuel L. Jackson","Money","tt2395427","Avengers: Age of Ultron","2015","PG-13","movie","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Sci-Fi","66","7.5","447,454","75","6.7","84","4.1","281974","N/A","Walt Disney Pictures"
"Samuel L. Jackson","Money","tt2802144","Kingsman: The Secret Service","2014","R","movie","Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies","Action, Adventure, Comedy","58","7.8","390,319","74","6.7","84","4.0","121239","N/A","20th Century Fox"
"Samuel L. Jackson","Money","tt1608383","Black Dynamite","2011–","TV-MA","series","Michael Jai White, Byron Minns, Tommy Davidson, Kym Whitley","Animation, Action, Comedy","N/A","8.2","2,529","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samuel L. Jackson","Money","tt3704236","Disney Infinity: Marvel Super Heroes","2014","N/A","game","Charles Adler, Scott Adsit, Carlos Alazraqui, Tony Anselmo","Action","N/A","7.4","122","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
